typ,typ_label,name,address,lat,lng,wertstoffinsel_glas,wertstoffinsel_kleider,wertstoffinsel_papier,google_maps_url
3.0,Grüngutannahmestelle,Grüngutannahmestelle Amedorf,Pungemühle,52.597952607939,9.5441257953644,,,,"https://www.google.com/maps?q=52.597952607939,9.5441257953644"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Esperke,Hoper Straße 3,52.636771476091,9.6097272634506,,,,"https://www.google.com/maps?q=52.636771476091,9.6097272634506"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Mardorf,Haesterkamp 9,52.493057217872,9.2932426929474,,,,"https://www.google.com/maps?q=52.493057217872,9.2932426929474"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Metel,Meteler Straße 8,52.547959828497,9.547124505043,,,,"https://www.google.com/maps?q=52.547959828497,9.547124505043"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Poggenhagen,Am Schiffgraben 25,52.480742046311,9.4444227218628,,,,"https://www.google.com/maps?q=52.480742046311,9.4444227218628"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Schneeren,Im Nordfeld,52.537565370465,9.3246030807495,,,,"https://www.google.com/maps?q=52.537565370465,9.3246030807495"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Wulfelade,Lohbergstraße 10,52.572415403769,9.4977611303329,,,,"https://www.google.com/maps?q=52.572415403769,9.4977611303329"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Koldingen,"Ruther Weg 1, 30982 Pattensen",52.271105489463,9.7966021299362,,,,"https://www.google.com/maps?q=52.271105489463,9.7966021299362"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Benthe,"Hengstweg , 30952 Ronnenberg",52.339439931848,9.6299082040787,,,,"https://www.google.com/maps?q=52.339439931848,9.6299082040787"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Ihme-Roloven,"Teichstraße 6, 30952 Ronnenberg",52.305130198767,9.6762996912003,,,,"https://www.google.com/maps?q=52.305130198767,9.6762996912003"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Döteberg,"Hinterm Kampe , 30926 Seelze",52.371987269152,9.5946961641312,,,,"https://www.google.com/maps?q=52.371987269152,9.5946961641312"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Bolzum,"Pfingstanger , 31319 Sehnde",52.301736579745,9.9457222223282,,,,"https://www.google.com/maps?q=52.301736579745,9.9457222223282"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Ilten,"Glückauf-Straße , 31319 Sehnde",52.347541328334,9.9480128288269,,,,"https://www.google.com/maps?q=52.347541328334,9.9480128288269"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Altenhagen,"Alte Landstraße 1, 31832 Springe",52.175432701448,9.5207047462463,,,,"https://www.google.com/maps?q=52.175432701448,9.5207047462463"
